Time (s), Instrument,Duration (Quarter)
0,Snare Drum,0.5
0.5,Bass Drum,0.5
1,Snare Drum,0.5
1.5,Bass Drum,0.5
2,Snare Drum,0.5
2.5,Bass Drum,0.5
3,Snare Drum,0.5
3.5,Bass Drum,0.5
4,Bass Drum,0.5
4.5,Bass Drum,0.5
5,Snare Drum,1
6,Bass Drum,0.5
6.5,Bass Drum,0.5
7,Snare Drum,1
8,Bass Drum,0.5
8.5,Bass Drum,0.5
9,Snare Drum,1
10,Bass Drum,0.5
10.5,Bass Drum,0.5
11,Snare Drum,0.5
11.5,Snare Drum,0.25
11.75,Snare Drum,0.25
16,Bass Drum,0.5
16.5,Bass Drum,0.5
17,Snare Drum,1
18,Bass Drum,0.5
18.5,Bass Drum,0.5
19,Snare Drum,0.5
19.5,Snare Drum,0.25
19.75,Snare Drum,0.25
24,Bass Drum,0.5
24.5,Bass Drum,0.5
25,Snare Drum,1
26,Bass Drum,0.5
26.5,Bass Drum,0.5
27,Snare Drum,0.5
27.5,Snare Drum,0.25
27.75,Snare Drum,0.25
32,Bass Drum,0.5
32.5,Bass Drum,0.5
33,Snare Drum,1
34,Bass Drum,0.5
34.5,Bass Drum,0.5
35,Snare Drum,1
36,Bass Drum,0.5
36.5,Bass Drum,0.5
37,Snare Drum,1
38,Bass Drum,0.5
38.5,Bass Drum,0.5
39,Snare Drum,0.5
39.5,Bass Drum,0.5
40,Bass Drum,1
41,Snare Drum,0.5
41.5,Snare Drum,0.5
42,Bass Drum,0.5
42.5,Bass Drum,0.5
43,Snare Drum,0.5
43.5,Bass Drum,0.5
44,Bass Drum,0.5
44.5,Bass Drum,0.5
45,Snare Drum,0.5
45.5,Bass Drum,0.5
46,Bass Drum,1
47,Snare Drum,0.5
47.5,Bass Drum,0.5
52,Bass Drum,0.5
52.5,Bass Drum,0.5
53,Snare Drum,0.5
53.5,Bass Drum,0.5
54,Bass Drum,1
55,Snare Drum,0.5
55.5,Bass Drum,0.5
60,Bass Drum,1
61,Snare Drum,0.5
61.5,Snare Drum,0.5
62,Bass Drum,0.5
62.5,Bass Drum,0.5
63,Snare Drum,0.5
63.5,Bass Drum,0.5
64,Bass Drum,0.5
64.5,Bass Drum,0.5
65,Snare Drum,0.5
65.5,Bass Drum,0.5
66,Bass Drum,1
67,Snare Drum,0.5
67.5,Bass Drum,0.5
68,Bass Drum,1
69,Snare Drum,0.5
69.5,Snare Drum,0.5
70,Bass Drum,0.5
70.5,Bass Drum,0.5
71,Snare Drum,0.5
71.5,Bass Drum,0.5
72,Bass Drum,0.5
72.5,Bass Drum,0.5
73,Snare Drum,0.5
73.5,Bass Drum,0.5
74,Bass Drum,1
75,Snare Drum,0.5
75.5,Bass Drum,0.5
76,Bass Drum,0.5
76.5,Bass Drum,0.5
77,Snare Drum,1
78,Bass Drum,0.5
78.5,Bass Drum,0.5
79,Snare Drum,1
80,Bass Drum,0.5
80.5,Bass Drum,0.5
81,Snare Drum,1
82,Bass Drum,0.5
82.5,Bass Drum,0.5
83,Snare Drum,0.5
83.5,Snare Drum,0.25
83.75,Snare Drum,0.25
88,Bass Drum,0.5
88.5,Bass Drum,0.5
89,Snare Drum,1
90,Bass Drum,0.5
90.5,Bass Drum,0.5
91,Snare Drum,0.5
91.5,Snare Drum,0.25
91.75,Snare Drum,0.25
96,Bass Drum,0.5
96.5,Bass Drum,0.5
97,Snare Drum,1
98,Bass Drum,0.5
98.5,Bass Drum,0.5
99,Snare Drum,1
100,Bass Drum,0.5
100.5,Bass Drum,0.5
101,Snare Drum,1
102,Bass Drum,0.5
102.5,Bass Drum,0.5
103,Snare Drum,0.5
103.5,Bass Drum,0.5
104,Bass Drum,1
105,Snare Drum,0.5
105.5,Snare Drum,0.5
106,Bass Drum,0.5
106.5,Bass Drum,0.5
107,Snare Drum,0.5
107.5,Bass Drum,0.5
108,Bass Drum,0.5
108.5,Bass Drum,0.5
109,Snare Drum,0.5
109.5,Bass Drum,0.5
110,Bass Drum,1
111,Snare Drum,0.5
111.5,Bass Drum,0.5
112,Bass Drum,1
113,Snare Drum,0.5
113.5,Snare Drum,0.5
114,Bass Drum,0.5
114.5,Bass Drum,0.5
115,Snare Drum,0.5
115.5,Bass Drum,0.5
116,Bass Drum,0.5
116.5,Bass Drum,0.5
117,Snare Drum,0.5
117.5,Bass Drum,0.5
118,Bass Drum,1
119,Snare Drum,0.5
119.5,Bass Drum,0.5
120,Bass Drum,1
121,Snare Drum,0.5
121.5,Snare Drum,0.5
122,Bass Drum,0.5
122.5,Bass Drum,0.5
123,Snare Drum,0.5
123.5,Bass Drum,0.5
124,Bass Drum,0.5
124.5,Bass Drum,0.5
125,Snare Drum,0.5
125.5,Bass Drum,0.5
126,Bass Drum,1
127,Snare Drum,0.5
127.5,Bass Drum,0.5
128,Bass Drum,1
129,Snare Drum,0.5
129.5,Snare Drum,0.5
130,Bass Drum,0.5
130.5,Bass Drum,0.5
131,Snare Drum,0.5
131.5,Bass Drum,0.5
132,Bass Drum,0.5
132.5,Bass Drum,0.5
133,Snare Drum,0.5
133.5,Bass Drum,0.5
134,Snare Drum,0.5
134.5,Snare Drum,0.5
135,Bass Drum,0.5
135.5,Bass Drum,0.5
136,Bass Drum,1
